Key,Source,de-de,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.GameSettings.Monetization.PrivateServersHint,"Paid Access must not be enabled, and the game must be public to enable Private Servers.", ,"Paid Access must not be enabled, and the game must be public to enable Private Servers.","Para habilitar los servidores privados, no debe activarse el acceso de pago y el juego debe ser público.",L'Accès Payant ne doit pas être activé et le jeu doit être public pour activer les Serveurs Privés.,プライベートサーバーを有効化するには、有料アクセスが有効化されておらず、ゲームが公開済みであることが必須です。,비공개 서버를 활성화하려면 유료 액세스를 비활성화하고 게임을 공개해야 합니다.,O acesso deve estar desabilitado e o jogo deve ser público para permitir servidores privados., ,启用私人服务器前，需要禁用付费访问并将游戏设为公开。,启用私人服务器前，需要禁用付费访问并将游戏设为公开。,若要啟用 VIP 伺服器，必須先停用付費通行，並將遊戲設為公開。
Studio.GameSettings.General.CategorySecurity,Security, ,Security,Seguridad,Sécurité,セキュリティ,보안,Segurança, ,安全,安全,安全性
Studio.GameSettings.Monetization.VIPServersShutdownWarning,Warning: Turning off VIP Servers will cancel all existing subscriptions., ,Warning: Turning off VIP Servers will cancel all existing subscriptions.,"Advertencia: Si desactivas los Servidores VIP, se cancelarán todas las suscripciones vigentes.",Avertissement : La désactivation des serveurs VIP entraînera l'annulation de tous les abonnements existants.,警告: VIPサーバーをオフにすると、現在あるすべてのサブスクリプションがキャンセルされます。,주의: VIP 서버를 비활성화하면 기존 구독 사항이 모두 취소됩니다.,Aviso: Desativar os servidores VIP cancelará todas as assinaturas existentes., ,警告：关闭 VIP 服务器后将会取消所有当前订阅。,警告：关闭 VIP 服务器后将会取消所有当前订阅。,警告：若關閉 VIP 伺服器，目前的訂閱將會全部取消。
Studio.GameSettings.Monetization.PrivateServersActive,There are currently {totalVipServers:int} Private Servers active for this place., ,There are currently {totalVipServers:int} Private Servers active for this place.,"Actualmente, hay {totalVipServers:int} Servidores privados activos para este lugar.",Il y a {totalVipServers:int} serveurs privés actifs pour cet emplacement en ce moment.,このプレースには現在、使用中のプライベートサーバーが {totalVipServers:int} 件あります。,현재 이 플레이스에서 {totalVipServers:int}개의 비공개 서버를 사용 중입니다.,"No momento, há {totalVipServers:int} servidores privados ativos para este local.", ,当前场景目前拥有 {totalVipServers:int} 个使用中的私人服务器。,当前场景目前拥有 {totalVipServers:int} 个使用中的私人服务器。,此地點目前有 {totalVipServers:int} 個活躍私人伺服器。
Studio.GameSettings.Monetization.OverVIPServerSubscriptions,There are currently over {numOfSubscriptions:int} VIP Server Subscriptions active for this place., ,There are currently over {numOfSubscriptions:int} VIP Server Subscriptions active for this place.,"Actualmente, hay más de {numOfSubscriptions:int} suscripciones activas a Servidores VIP para este lugar.",Il y a plus de {numOfSubscriptions:int} abonnements aux serveurs VIP pour cet emplacement en ce moment.,このプレースには現在、 有効なVIPサーバーサブスクリプションが {numOfSubscriptions:int} 件以上あります。,현재 이 플레이스에는 {numOfSubscriptions:int}건 이상의 활성화된 VIP 서버 구독이 있습니다.,"No momento, há {numOfSubscriptions:int} assinaturas de servidores VIP ativas para este local.", ,当前场景目前拥有超过 {numOfSubscriptions:int} 个以上的活跃 VIP 服务器订阅。,当前场景目前拥有超过 {numOfSubscriptions:int} 个以上的活跃 VIP 服务器订阅。,此地點目前有 {numOfSubscriptions:int} 個以上的活躍 VIP 伺服器訂閱。
Studio.GameSettings.Monetization.VIPServerSubscriptions,There are currently {numOfSubscriptions:int} VIP Server Subscriptions active for this place., ,There are currently {numOfSubscriptions:int} VIP Server Subscriptions active for this place.,"Actualmente, hay {numOfSubscriptions:int} suscripciones activas a Servidores VIP para este lugar.",Il y a plus de {numOfSubscriptions:int} abonnements aux serveurs VIP actifs pour cet emplacement en ce moment.,このプレースには現在、有効なVIPサーバーサブスクリプションが {numOfSubscriptions:int} 件あります。,현재 이 플레이스에는 {numOfSubscriptions:int}건의 활성화된 VIP 서버 구독이 있습니다.,"No momento, há {numOfSubscriptions:int} assinaturas de servidores VIP ativas para este local.", ,当前场景目前拥有 {numOfSubscriptions:int} 个活跃 VIP 服务器订阅。,当前场景目前拥有 {numOfSubscriptions:int} 个活跃 VIP 服务器订阅。,此地點目前有 {numOfSubscriptions:int} 個活躍 VIP 伺服器訂閱。
Studio.GameSettings.Security.EnableThirdPartyPurchasesDescription,"By enabling, players can purchase items provided by third parties.", ,"By enabling, players can purchase items provided by third parties.","Al activarlas, los jugadores pueden comprar objetos de terceros.","En l'activant, les joueurs peuvent acheter des articles fournis par des tiers.",有効化すると、プレイヤーはサードパーティ提供によるアイテムを購入できます。,이 옵션을 활성화하면 플레이어가 타사 판매 아이템을 구매할 수 있습니다.,"Ao ativar isto, jogadores podem comprar itens disponibilizados por terceiros.", ,启用此选项后，玩家将可以购买第三方销售物品。,启用此选项后，玩家将可以购买第三方销售物品。,若啟用此選項，玩家就可以購買第三方販賣的道具。
Studio.GameSettings.Monetization.BadgeName,Badge Name, ,Badge Name,Nombre del emblema,Nom du badge,バッジ名,배지 이름,Nome do emblema, ,徽章名称,徽章名称,徽章名稱
Studio.GameSettings.General.DevSubsPlanID,Plan ID, ,Plan ID,ID del plan,Plan ID,プランID,플랜 ID,ID de plano, ,计划 ID,计划 ID,方案 ID
Studio.GameSettings.General.DevSubsPendingEarning,Pending Earning, ,Pending Earning,Ingresos pendiente,Gains en attente,保留中の収益,대기 중인 수익,A receber, ,预定收入,预定收入,待處理收入
Studio.GameSettings.General.SaveText,Save to access Game Settings. , ,Save to access Game Settings. ,Publicar para acceder a Configuración del juego. ,Sauvegarder pour accéder aux paramètres du jeu. ,保存してゲーム設定にアクセス。 ,저장 후 게임 설정 기능을 이용할 수 있습니다. ,Salve para acessar as configurações do jogo. , ,保存后即可使用游戏设置功能。 ,保存后即可使用游戏设置功能。 ,儲存後即可進入遊戲設定。
Studio.GameSettings.General.DevSubsDeleteDescription,"You will lose pending payments for this subscription, including the current month.", ,"You will lose pending payments for this subscription, including the current month.","Perderás los pagos pendientes para esta suscripción, incluso el pago del mes en curso.","Tu perdras tes paiements en attente pour cet abonnement , y compris le mois en cours.",今月を含む、このサブスクリプションの保留中の支払いを受け取れなくなります。,"이번 달을 포함해, 이 구독의 대기 중인 수익을 잃게 됩니다.","Você perderá pagamentos pendentes para esta assinatura, incluindo para o mês atual.", ,你将失去此订阅的预定收入，包括本月的。,你将失去此订阅的预定收入，包括本月的。,您將會失去此訂閱待處理的付款，包括本月付款。
Studio.GameSettings.General.DevSubsDuration12Months,12 months, ,12 months,12 meses,12 mois,12ヶ月,12개월,12 meses, ,12 个月,12 个月,12 個月
Studio.GameSettings.General.ThumbnailsLimitLuobu,You can set up to {maxThumbnails:int} screenshots for a game., ,You can set up to {maxThumbnails:int} screenshots for a game.,Puedes definir hasta un máximo de {maxThumbnails:int} capturas de pantalla para un juego.,Tu peux faire des captures d'écran de {maxThumbnails:int} pour un jeu.,一つのゲームにつき {maxThumbnails:int} 件までのスクリーンショットを設定できます。,게임에 대한 스크린숏은 최대 {maxThumbnails:int}장까지 설정할 수 있습니다.,Você pode definir até {maxThumbnails:int} capturas de tela para um jogo., ,一个游戏最多可设置 {maxThumbnails:int} 张屏幕截图。,一个游戏最多可设置 {maxThumbnails:int} 张屏幕截图。,你最多可以替一個遊戲設定 {maxThumbnails:int} 個截圖。
Studio.GameSettings.General.CopyIDToClipboard,Copy ID to Clipboard, ,Copy ID to Clipboard,Copiar ID al portapapeles,Copier ID dans le clipboard,IDをクリップボードにコピー,ID를 클립보드에 복사,Copiar ID para a área de transferência, ,复制 ID 到剪贴板,复制 ID 到剪贴板,將 ID 複製到剪貼簿
Studio.GameSettings.Monetization.Badges,Badges, ,Badges,Emblemas,Badges,バッジ,배지,Emblemas, ,徽章,徽章,徽章
Studio.GameSettings.Monetization.BadgeDescription,Badge Description, ,Badge Description,Descripción del emblema,Description du badge,バッジの詳細,배지 설명,Descrição do emblema, ,徽章描述,徽章描述,徽章說明
Studio.GameSettings.General.Configure,Configure, ,Configure,Configurar,Configurer,環境設定,구성,Configurar, ,配置,配置,設定
Studio.GameSettings.General.LocationChina,China, ,China,China,Chine,中国,중국,China, ,中国,中国,中國
Studio.GameSettings.OptInLocations.Tooltip,"Your creation will be published to all locations, including all the selected opt-in locations. See each location for specific requirements.", ,"Your creation will be published to all locations, including all the selected opt-in locations. See each location for specific requirements.","Tu creación se publicará en todas las ubicaciones, inclusas todas aquellas seleccionadas. Visita cada una para obtener los requisitos específicos.","Ta création sera publiée sur tous les sites, y compris ceux qui ont été sélectionnés par opt-in.",あなたの作品は、すべての選択済みのオプトイン場所に加えてすべての場所で公開されます。各地域ごとの特定の要件をごらんください。,선택한 모든 옵트인 위치를 포함해 전 위치에 본인의 작품이 게시됩니다. 각 위치별로 특정 요구 사항 여부를 확인하세요.,"Sua criação será publicada globalmente, além dos locais selecionados. Veja os requerimentos específicos para cada local.", ,你的作品将会发布到全球，以及所有你选择加入的位置，请查看每个位置了解其需求。,你的作品将会发布到全球，以及所有你选择加入的位置，请查看每个位置了解其需求。,您的創作將會發布到所有位置，選擇的位置在內，請查看個別位置了解其特定需求。
Studio.GameSettings.AccessPermissions.PlayabilityWarning,"To change Playability settings, turn off Paid Access or Private Servers", ,"To change Playability settings, turn off Paid Access or Private Servers","Para cambiar la configuración de Jugabilidad, desactiva Acceso de pago o Servidores privados","Pour modifier les paramètres de jouabilité, désactive l'accès payant ou les serveurs privés",プレイヤビリティ設定を変更するには、課金アクセスまたはプライベートサーバーをオフにする,플레이 가능 여부 설정을 변경하려면 유료 액세스 또는 비공개 서버를 끄세요,"Para mudar as configurações de jogabilidade, desative os acesso pago ou os servidores privados", ,要更改权限设置，请关闭付费访问或私人服务器,要更改权限设置，请关闭付费访问或私人服务器,若要變更權限設定，請關閉付費通行或私人伺服器
Studio.GameSettings.OptInLocations.ChinaRequirements, to publish to China, , to publish to China, para publicar en China, à publier en Chine,中国で公開, 중국에 게시, para publicar na China, , 在中国发布, 在中国发布,在中國發布
Studio.GameSettings.OptInLocations.RequirementsLinkText,Requirements, ,Requirements,Requisitos,Exigences,要件,요구 사항,Requerimentos, ,要求,要求,需求
Studio.GameSettings.OptInLocations.Status,Status: , ,Status: ,Estado: ,Statut: ,状況: ,상태: ,Status: , ,状态: ,状态: ,狀態：
Studio.GameSettings.General.TermsDialogHeader,Terms of Use and Privacy Policy, ,Terms of Use and Privacy Policy,Términos de uso y política de privacidad,Conditions d'utilisation et politique de confidentialité,利用規約とプライバシーポリシー,이용 약관 및 개인정보 처리방침,Termos de Uso e Política de Privacidade, ,使用条款与隐私政策,使用条款与隐私政策,使用條款與隱私權政策
Studio.GameSettings.General.TermsDialogBody,"In order to publish on the LuoBuLeSi app published and operated by Tencent, you need to register an account with Tencent, and accept Tencent’s Terms of Use and Privacy Policy. [link]", ,"In order to publish on the LuoBuLeSi app published and operated by Tencent, you need to register an account with Tencent, and accept Tencent’s Terms of Use and Privacy Policy. [link]","Para publicar en la aplicación LuoBuLeSi, publicada y operada por Tencent, es necesario registrar una cuenta en Tencent y aceptar las condiciones de uso y la política de privacidad de Tencent. [link]","Pour publier sur l'application LuoBuLeSi publiée et exploitée par Tencent, tu dois créer un compte auprès de Tencent et accepter les conditions d'utilisation et la politique de confidentialité de Tencent. [link]",テンセントが公開し、運営している LuoBuLeSi アプリ上で公開するには、テンセントのアカウントに登録し、テンセントの利用規約とプライバシーポリシーに同意する必要があります。[link],"Tencent에서 게시하고 운영하는 LuoBuLeSi 앱에 게시하려면, Tencent 계정을 생성하고, Tencent의 이용 약관 및 개인정보 처리방침에 동의해야 합니다. [link]","Para publicar no aplicativo LuoBuLeSi, operado e publicado pela Tencent, você precisa registrar um conta com a Tencent e aceitar os Termos de Uso e Política de Privacidade da Tencent. [link]", ,如要在腾讯发布与运营的罗布乐思 App 发布作品，你需要注册腾讯账号并接受腾讯使用条款与隐私政策。[link],如要在腾讯发布与运营的罗布乐思 App 发布作品，你需要注册腾讯账号并接受腾讯使用条款与隐私政策。[link],若要在騰訊發行和營運的羅布樂思 App 發布作品，您必須註冊騰訊帳號並接受騰訊的使用條款與隱私權政策。[link]
Studio.GameSettings.OptInLocations.EmailDialogHeader,Email for Review Feedback, ,Email for Review Feedback,Correo electrónico para recibir retroalimentación,Courriel pour les commentaires sur la révision,レビューフィードバックのメール,검토 피드백 수신 이메일,E-mail para resultado da avaliação, ,审核反馈的电子邮件,审核反馈的电子邮件,審查詳細資料電子郵件
Studio.GameSettings.OptInLocations.EmailDialogDescription,Please enter the email where you would like to receive review feedback:, ,Please enter the email where you would like to receive review feedback:,Introduce el correo electrónico si quieres recibir retroalimentación de la revisión:,Entrer l'adresse électronique à laquelle tu souhaites recevoir les commentaires sur les évaluations :,レビューフィードバックを受け取りたいところにメールを入力してください:,검토 피드백을 받을 이메일 주소를 입력하세요:,Digite o e-mail no qual você gostaria de receber o resultado da avaliação:, ,请输入接收审核反馈的电子邮件地址：,请输入接收审核反馈的电子邮件地址：,請輸入要收到審查詳細資料的電子郵件地址：
Studio.GameSettings.OptInLocations.ErrorInvalidEmail,You entered an invalid email address., ,You entered an invalid email address.,Has introducido un correo electrónico no válido.,Tu as saisi une adresse électronique non valide.,入力したメールアドレスが無効です。,입력하신 이메일 주소가 유효하지 않습니다.,Você digitou um endereço de e-mail inválido., ,你输入的电子邮件地址无效。,你输入的电子邮件地址无效。,輸入的電子郵件地址無效。
Studio.GameSettings.OptInLocations.ConfirmEmailAddress,Confirm email address, ,Confirm email address,Confirmar dirección de correo electrónico,Confirmer adresse email,メールアドレスの確認,이메일 주소 확인,Confirmar endereço de e-mail, ,确认邮件地址,确认邮件地址,確認電子郵件地址
Studio.GameSettings.OptInLocations.EmailSubmitFailure,Failed to submit email for review feedback. Error code: , ,Failed to submit email for review feedback. Error code: ,Error al enviar un correo electrónico para recibir la retroalimentación de la revisión. Código del error: , ,レビューフィードバック用のメールを送信できませんでした。エラーコード: ,검토 피드백 수신 이메일을 제출하지 못했습니다. 오류 코드: ,Erro ao enviar o e-mail para revisão. Código do erro: , ,提交审核反馈的电子邮件时出错。错误代码： ,提交审核反馈的电子邮件时出错。错误代码： ,無法送出審查詳細資料電子郵件地址。錯誤碼：
Studio.GameSettings.General.VoiceChatTitle,In-Game Voice Chat, ,In-Game Voice Chat,Chat de voz en el juego, ,ゲーム内ボイスチャット,게임 내 음성 채팅,Chat de voz no jogo, ,游戏内语音聊天,游戏内语音聊天,遊戲內語音聊天
Studio.GameSettings.General.VoiceChatText,Enables in-game voice chat. Voice chat will only work if players meet age eligibility criteria., ,Enables in-game voice chat. Voice chat will only work if players meet age eligibility criteria.,Activa el chat de voz en el juego. El chat de voz funcionará solo si los jugadores cumplen los criterios de edad., ,ゲーム内ボイスチャットを有効化。ボイスチャットは、プレイヤーが年齢制限をクリアしている場合にのみ機能します。,게임 내 음성 채팅을 활성화합니다. 음성 채팅은 플레이어가 연령 자격 기준을 충족하는 경우에만 작동합니다.,Permite chat de voz no jogo. Chat de voz só será permitido se os jogadores cumprirem os critérios de qualificação etária., ,启用游戏内语音聊天。语音聊天只有在玩家符合年龄要求时才会生效。,启用游戏内语音聊天。语音聊天只有在玩家符合年龄要求时才会生效。,啟用遊戲內語音聊天。此功能只有符合年齡資格的玩家可以使用。
Studio.GameSettings.General.VoiceChatLinkText,here, ,here,aquí, ,こちら,여기,aqui, ,这里,这里,此處
Studio.GameSettings.OptInLocations.SavedGameWarning,You must publish your game before publishing to opt-in locations., ,You must publish your game before publishing to opt-in locations.,Debes publicar tu juego antes de publicarlo en los lugares seleccionados., ,オプトイン場所に公開する前にあなたのゲームを公開することが必須です。,옵트인 위치에 게시하기 전에 먼저 게임을 게시해야 합니다.,Você deve publicar seu jogo antes de publicá-lo em locais opcionais., ,必须先发布游戏后才能在可选择的地点发布。,必须先发布游戏后才能在可选择的地点发布。,發布到同意位置之前須先發布遊戲。
