Studio.App.IdeDoc.JoiningTeamTestFailedBecause1,,,Joining team test failed because %1.,Joining team test failed because %1.,%1(으)로 인해 팀 테스트에 참가하지 못했습니다.,Не удалось присоединиться к совместному тестированию: %1.,加入队伍测试失败，原因: %1
Studio.App.IdeDoc.KillScript,,,Kill Script,Kill Script,스크립트 중단,Прервать скрипт,中止脚本
Studio.App.IdeDoc.LegacyPartNotCompatibleWithPhysics,,,"Legacy Part not compatible with Physics, try separating and simplifying","Legacy Part not compatible with Physics, try separating and simplifying",기존 파트가 물리와 호환되지 않습니다. 분리하거나 단순화하세요.,"Унаследованная часть несовместима с физикой, попробуйте разделить и упростить",旧版部件与物理不兼容，请尝试分离并简化部件
Studio.App.IdeDoc.LoadingPlacePleaseWait,,,Loading Place. Please wait...,Loading Place. Please wait...,플레이스 불러오는 중. 잠시 기다려주세요...,"Загрузка места. Пожалуйста, подождите...",正在加载场景，请稍候...
Studio.App.IdeDoc.LogInRequired,,,Log in required,Log in required,로그인 필요,Требуется авторизация,需要登录
Studio.App.IdeDoc.NoFBXFileSelected,,,No FBX file selected,No FBX file selected,선택된 FBX 파일 없음,Файл FBX не выбран,未选择 FBX 文件
Studio.App.IdeDoc.NoRigWasPassedAsFirstArgument,,,No rig was passed as first argument to ImportFbxAnimation,No rig was passed as first argument to ImportFbxAnimation,ImportFbxAnimation에 첫 번째 인수로 전달된 리그 없음,В качестве первого аргумента ImportFbxAnimation не был передан скелет анимации,没有骨架以第一个参数传给 ImportFbxAnimation
Studio.App.IdeDoc.NotSavingChanges,,,Not Saving Changes,Not Saving Changes,변경 사항 저장 안 함,Изменения не сохраняются,不保存更改
Studio.App.IdeDoc.ObjFiletypeExpected1,,,Obj filetype expected. '%1' received.,Obj filetype expected. '%1' received.,Obj 파일 유형 예상. '%1' 수신.,Ожидался тип файла OBJ. Получено: '%1'.,需要 Obj 文件类型。收到的是 “%1”。
Studio.App.IdeDoc.ObjModelFiletype,,,Object Model (*.obj),Object Model (*.obj),개체 모델(*.obj),Модель объекта (*.obj.),对象模型 (*.obj)
Studio.App.IdeDoc.OpenAnimationFBXFile,,,Open Animation FBX File,Open Animation FBX File,애니메이션 FBX 파일 열기,Открыть анимационный файл FBX,打开动画 FBX 文件
Studio.App.IdeDoc.OpeningPlace,,,Opening Place,Opening Place,플레이스 여는 중,Открытие места,正在打开场景
Studio.App.IdeDoc.PasteInto,,,Paste Into,Paste Into,다음에 붙여넣기,Вставить в,粘贴至
Studio.App.IdeDoc.PasteIntoSelected,,,Paste Into Selected,Paste Into Selected,선택한 곳에 붙여넣기,Вставить в выбранное,粘贴至选中位置
Studio.App.IdeDoc.PlayGame,,,Play Game,Play Game,게임 플레이,Играть,开始游戏
Studio.App.IdeDoc.PleaseCheckPermissionsAndTryAgain,,,Please check permissions and try again.,Please check permissions and try again.,권한을 확인하고 다시 시도하세요.,"Пожалуйста, проверьте разрешения и повторите попытку.",请检查许可后再试一次。
Studio.App.IdeDoc.Publish,,,Publish,Publish,게시,Опубликовать,发布
Studio.App.IdeDoc.RequestedAssetTypeNotSupported,,,Requested asset type is not supported.,Requested asset type is not supported.,요청한 애셋 유형이 지원되지 않습니다.,Запрашиваемый тип ресурса не поддерживается.,不支持请求的资源类型。
Studio.App.IdeDoc.RequestingAccess,,,Requesting access...,Requesting access...,접근 요청 중...,Запрос доступа...,正在请求访问许可...
Studio.App.IdeDoc.RobloxPlaceFilesAndXMLPlaceFiles,,,Roblox Place Files (*.rbxl);;Roblox XML Place Files (*.rbxlx),Roblox Place Files (*.rbxl);;Roblox XML Place Files (*.rbxlx),Roblox 플레이스 파일(*.rbxl);;Roblox XML 플레이스 파일(*.rbxlx),Файлы мест Roblox (*.rbxl);;Файлы мест Roblox в формате XML (*.rbxlx),Roblox 场景文件 (*.rbxl);; Roblox XML 场景文件 (*.rbxlx)
Studio.App.IdeDoc.SaveFileFailure,,,Save File Failure,Save File Failure,저장 파일 실패,Ошибка файла сохранения,保存文件失败
Studio.App.IdeDoc.Saving,,,Saving,Saving,저장 중,Сохранение,正在保存
Studio.App.IdeDoc.SavingScripts,,,Saving scripts...,Saving scripts...,스크립트 저장 중...,Сохранение скриптов...,正在保存脚本...
Studio.App.IdeDoc.SavingServerPlaceFailed1,,,Saving Server Place Failed: %1,Saving Server Place Failed: %1,%1 서버 플레이스를 저장하지 못했습니다.,Не удалось сохранить место сервера: %1,保存服务器场景失败: %1
Studio.App.IdeDoc.ScriptExecutionStoppedByUser,,,Script execution stopped by user.,Script execution stopped by user.,사용자에 의해 스크립트 실행이 중단됐습니다.,Выполнение скрипта остановлено пользователем.,用户已停止脚本的执行。
Studio.App.IdeDoc.ScriptRunningMayBeHanging,,,"A script has been running for a long time, and may be hanging.","A script has been running for a long time, and may be hanging.",스크립트가 오랫동안 실행되어 작동 중지되었을 수 있습니다.,"Скрипт выполняется уже долгое время, возможен сбой.",某个脚本已运行很长时间，可能已被挂起。
Studio.App.IdeDoc.Server,,,Server,Server,서버,Сервер,服务器
Studio.App.IdeDoc.ShutdownServer,,,Shutdown Server,Shutdown Server,서버 종료,Отключить сервер,关闭服务器
Studio.App.IdeDoc.SorryPublishedPlaceCannotBeLoaded1,,,"Sorry, this published place could not be loaded.

Details: ""%1""","Sorry, this published place could not be loaded.

Details: ""%1""","죄송합니다. 게시된 해당 플레이스를 불러올 수 없습니다.

세부 사항: ""%1""","Это место не может быть загружено. 

Подробнее: ""%1""","很抱歉，无法加载这个已发布的场景。

详情: “%1”"
Studio.App.IdeDoc.Start,,,Start,Start,시작,Запустить,开始
Studio.App.IdeDoc.StartServer,,,Start Server,Start Server,서버 시작,Запуск сервера,启动服务器
Studio.App.IdeDoc.StartServerAndPlayers,,,Start Server and Players,Start Server and Players,서버 및 플레이어 시작,Запустить сервер и активировать игроков,启动服务器和玩家
Studio.App.IdeDoc.SuccessfullyDownloadedCopyTo1,,,Successfully downloaded a copy to '%1',Successfully downloaded a copy to '%1',사본이 '%1'에 성공적으로 다운로드되었습니다,Успешно загружена копия на '%1',已成功下载副本至“%1”
Studio.App.IdeDoc.TeamCreateSessionCancelledByUser,,,Team Create session was cancelled by user,Team Create session was cancelled by user,사용자가 팀 만들기 세션을 취소했습니다,Сеанс совместной разработки был отменен пользователем,用户已取消组队创作进程
Studio.App.IdeDoc.TeamTest,,,Team Test,Team Test,팀 테스트,Совместное тестирование,队伍测试
Studio.App.IdeDoc.TestingModeAnyChangesYouMakeWillBeLost,,,"You are in testing mode, any changes you make will be lost when you press the stop button","You are in testing mode, any changes you make will be lost when you press the stop button",테스트 모드이므로 모든 변경 사항은 중지 버튼을 누르면 유실됩니다,"Вы находитесь в режиме тестирования. Любые изменения, которые вы внесете, будут потеряны при нажатии кнопки остановки.",你已进入测试模式，任何更改都会在你按下停止按钮时丢失
Studio.App.IdeDoc.UserNotLoggedIn,,,User not logged in.,User not logged in.,로그인하지 않은 사용자입니다.,Пользователь не вошел в систему.,用户未登录。
Studio.App.IdeDoc.VerbNotFound1,,,%1 verb not found.,%1 verb not found.,%1 동사를 찾을 수 없습니다.,"Глагол ""%1"" не найден.",找不到 %1 动词。
Studio.App.IdeDoc.WasAutoSaved1,,,%1 was auto-saved,%1 was auto-saved,%1이(가) 자동 저장되었습니다,%1: выполнено автосохранение,%1 已自动保存
Studio.App.IdeDoc.WasSaved1,,,%1 was saved,%1 was saved,%1이(가) 저장되었습니다,%1: выполнено сохранение,%1 已保存
Studio.App.IdeDoc.WasSavedToFile1,,,%1 was saved to file,%1 was saved to file,%1이(가) 파일로 저장되었습니다,%1: выполнено сохранение в файл,%1 已保存至文件
Studio.App.IdeDoc.WouldYouLikeToPublishTheseChanges,,,Would you like to publish these changes?,Would you like to publish these changes?,이 변경 사항을 게시할까요?,Опубликовать эти изменения?,你要发布这些更改吗?
Studio.App.IdeDoc.WouldYouLikeToSaveTheseChanges,,,Would you like to save these changes?,Would you like to save these changes?,이 변경 사항을 저장할까요?,Сохранить эти изменения?,你要保存这些更改吗?
Studio.App.IdeDoc.YouMustLogInToCreateMeshes,,,You must log in to create meshes.,You must log in to create meshes.,메시를 만들려면 로그인해야 합니다.,"Вы должны войти в систему, чтобы создать сетки.",你必须登录才能创建网格。
